interview__key,r_members__id,decision_code,decision_label,decision_maker_1,decision_maker_2,decision_maker_3,decision_maker_4,decision_maker_5
"74-09-83-15",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,2,,,
"74-09-83-15",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,,
"74-09-83-15",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,2,,,
"74-09-83-15",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,,
"74-09-83-15",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,
"74-09-83-15",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"74-09-83-15",2,"weai_12","How Much Money to Spend on Food?",1,2,,,
"74-09-83-15",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,
"74-09-83-15",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,
"74-09-83-15",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,
"74-09-83-15",2,"weai_16","Expenditure on Children's Education",1,2,,,
"74-09-83-15",2,"weai_17","How to Allocate Remittances",1,2,,,
"74-09-83-15",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,
"74-09-83-15",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,,
"74-09-83-15",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,
"74-09-83-15",2,"weai_21","Use of Land",1,2,,,
"99-86-29-88",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,,
"99-86-29-88",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,,,,
"99-86-29-88",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,,,,
"99-86-29-88",1,"weai_4","How Much Money to Spend on Farm Inputs?",1,,,,
"99-86-29-88",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,,,,
"99-86-29-88",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,
"99-86-29-88",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,
"99-86-29-88",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,
"99-86-29-88",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,
"99-86-29-88",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,,,,
"99-86-29-88",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,,,,
"99-86-29-88",1,"weai_12","How Much Money to Spend on Food?",2,,,,
"99-86-29-88",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,
"99-86-29-88",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,,,,
"99-86-29-88",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,
"99-86-29-88",1,"weai_16","Expenditure on Children's Education",1,,,,
"99-86-29-88",1,"weai_17","How to Allocate Remittances",1,,,,
"99-86-29-88",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,
"99-86-29-88",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,
"99-86-29-88",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,
"99-86-29-88",1,"weai_21","Use of Land",1,,,,
"99-86-29-88",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,,
"99-86-29-88",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,,
"99-86-29-88",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,,,,
"99-86-29-88",2,"weai_4","How Much Money to Spend on Farm Inputs?",1,,,,
"99-86-29-88",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,,,,
"99-86-29-88",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,2,,,
"99-86-29-88",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,,
"99-86-29-88",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,
"99-86-29-88",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,,
"99-86-29-88",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,
"99-86-29-88",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"99-86-29-88",2,"weai_12","How Much Money to Spend on Food?",1,2,,,
"99-86-29-88",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,
"99-86-29-88",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,
"99-86-29-88",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,
"99-86-29-88",2,"weai_16","Expenditure on Children's Education",1,2,,,
"99-86-29-88",2,"weai_17","How to Allocate Remittances",1,2,,,
"99-86-29-88",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,
"99-86-29-88",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,,
"99-86-29-88",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,
"99-86-29-88",2,"weai_21","Use of Land",1,2,,,
"10-97-13-34",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,2,,,
"10-97-13-34",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,,
"10-97-13-34",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,2,,,
"10-97-13-34",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,,
"10-97-13-34",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,
"10-97-13-34",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"10-97-13-34",1,"weai_12","How Much Money to Spend on Food?",1,2,,,
"10-97-13-34",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,
"10-97-13-34",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,
"10-97-13-34",1,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,
"10-97-13-34",1,"weai_16","Expenditure on Children's Education",1,2,,,
"10-97-13-34",1,"weai_17","How to Allocate Remittances",1,2,,,
"10-97-13-34",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,
"10-97-13-34",1,"weai_19","Whether They Attend a Training or Seminar",1,2,,,
"10-97-13-34",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,
"10-97-13-34",1,"weai_21","Use of Land",1,2,,,
"10-97-13-34",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,2,,,
"10-97-13-34",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,2,,,
"10-97-13-34",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,2,,,
"10-97-13-34",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,2,,,
"10-97-13-34",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,2,,,
"10-97-13-34",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"10-97-13-34",2,"weai_12","How Much Money to Spend on Food?",1,2,,,
"10-97-13-34",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,2,,,
"10-97-13-34",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,
"10-97-13-34",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,
"10-97-13-34",2,"weai_16","Expenditure on Children's Education",1,2,,,
"10-97-13-34",2,"weai_17","How to Allocate Remittances",1,2,,,
"10-97-13-34",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,
"10-97-13-34",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,,
"10-97-13-34",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,
"10-97-13-34",2,"weai_21","Use of Land",1,2,,,
"53-72-96-12",1,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,,,,
"53-72-96-12",1,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",2,,,,
"53-72-96-12",1,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,2,,,
"53-72-96-12",1,"weai_4","How Much Money to Spend on Farm Inputs?",1,,,,
"53-72-96-12",1,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",2,,,,
"53-72-96-12",1,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,
"53-72-96-12",1,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,
"53-72-96-12",1,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,
"53-72-96-12",1,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",1,,,,
"53-72-96-12",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,
"53-72-96-12",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",2,,,,
"53-72-96-12",1,"weai_12","How Much Money to Spend on Food?",2,,,,
"53-72-96-12",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,,
"53-72-96-12",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,,
"53-72-96-12",1,"weai_15","Purchase and Sale of Land and Houses?",1,,,,
"53-72-96-12",1,"weai_16","Expenditure on Children's Education",1,,,,
"53-72-96-12",1,"weai_17","How to Allocate Remittances",2,,,,
"53-72-96-12",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,,,,
"53-72-96-12",1,"weai_19","Whether They Attend a Training or Seminar",1,,,,
"53-72-96-12",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,,,,
"53-72-96-12",1,"weai_21","Use of Land",1,,,,
"53-72-96-12",2,"weai_1","Crop Farming like what Crop to Grow, when and How to Till and Manage the Crops (Weeding, Fertilizer, Etc.)",1,2,,,
"53-72-96-12",2,"weai_2","Marketing of Crop Farm Produce (when/Whom/where to Sell, Who Negotiates the Price)?",1,2,,,
"53-72-96-12",2,"weai_3","How any Cash Earned from Crop Farming is Spent?",1,2,,,
"53-72-96-12",2,"weai_4","How Much Money to Spend on Farm Inputs?",1,,,,
"53-72-96-12",2,"weai_5","Who Makes the Decision if the Household Need to Consult an Agricultural Technician, Extension Agent, or Other People Who are Experts",1,2,,,
"53-72-96-12",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",1,,,,
"53-72-96-12",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",1,,,,
"53-72-96-12",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",1,,,,
"53-72-96-12",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",2,,,,
"53-72-96-12",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,
"53-72-96-12",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,2,,,
"53-72-96-12",2,"weai_12","How Much Money to Spend on Food?",1,,,,
"53-72-96-12",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,
"53-72-96-12",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,2,,,
"53-72-96-12",2,"weai_15","Purchase and Sale of Land and Houses?",1,2,,,
"53-72-96-12",2,"weai_16","Expenditure on Children's Education",1,2,,,
"53-72-96-12",2,"weai_17","How to Allocate Remittances",1,2,,,
"53-72-96-12",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,2,,,
"53-72-96-12",2,"weai_19","Whether They Attend a Training or Seminar",1,2,,,
"53-72-96-12",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,2,,,
"53-72-96-12",2,"weai_21","Use of Land",1,,,,
"22-21-62-20",2,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",2,,,,
"22-21-62-20",2,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",2,,,,
"22-21-62-20",2,"weai_8","The Use of Large Livestock (Cattle, Donkey)",2,,,,
"22-21-62-20",2,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",2,,,,
"22-21-62-20",2,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,
"22-21-62-20",2,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",2,,,,
"22-21-62-20",2,"weai_12","How Much Money to Spend on Food?",2,,,,
"22-21-62-20",2,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,,
"22-21-62-20",2,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,,
"22-21-62-20",2,"weai_15","Purchase and Sale of Land and Houses?",2,,,,
"22-21-62-20",2,"weai_16","Expenditure on Children's Education",2,,,,
"22-21-62-20",2,"weai_17","How to Allocate Remittances",2,,,,
"22-21-62-20",2,"weai_18","Whether to Borrow Money and How Much to Borrow?",2,,,,
"22-21-62-20",2,"weai_19","Whether They Attend a Training or Seminar",2,,,,
"22-21-62-20",2,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",2,,,,
"22-21-62-20",2,"weai_21","Use of Land",2,,,,
"22-21-62-20",3,"weai_6","Purchase and Sale of Livestock Like Cattle and Goats (E.g. which to Buy, where/when to Sell, Etc.)",2,,,,
"22-21-62-20",3,"weai_7","How any Cash Earned from the Sale of Livestock or Livestock Products Like Milk and Eggs is Spent?",2,,,,
"22-21-62-20",3,"weai_8","The Use of Large Livestock (Cattle, Donkey)",2,,,,
"22-21-62-20",3,"weai_9","The Use of Small Livestock (Goats, Sheep, Poultry)",2,,,,
"22-21-62-20",3,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",2,,,,
"22-21-62-20",3,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",2,,,,
"22-21-62-20",3,"weai_12","How Much Money to Spend on Food?",2,,,,
"22-21-62-20",3,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",2,,,,
"22-21-62-20",3,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",2,,,,
"22-21-62-20",3,"weai_15","Purchase and Sale of Land and Houses?",2,,,,
"22-21-62-20",3,"weai_16","Expenditure on Children's Education",2,,,,
"22-21-62-20",3,"weai_17","How to Allocate Remittances",2,,,,
"22-21-62-20",3,"weai_18","Whether to Borrow Money and How Much to Borrow?",2,,,,
"22-21-62-20",3,"weai_19","Whether They Attend a Training or Seminar",2,,,,
"22-21-62-20",3,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",2,,,,
"22-21-62-20",3,"weai_21","Use of Land",2,,,,
"64-31-79-16",1,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,10,,,
"64-31-79-16",1,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,10,,,
"64-31-79-16",1,"weai_12","How Much Money to Spend on Food?",1,10,,,
"64-31-79-16",1,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,10,,,
"64-31-79-16",1,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,10,,,
"64-31-79-16",1,"weai_15","Purchase and Sale of Land and Houses?",1,10,,,
"64-31-79-16",1,"weai_16","Expenditure on Children's Education",1,10,,,
"64-31-79-16",1,"weai_17","How to Allocate Remittances",1,10,,,
"64-31-79-16",1,"weai_18","Whether to Borrow Money and How Much to Borrow?",1,10,,,
"64-31-79-16",1,"weai_19","Whether They Attend a Training or Seminar",1,10,,,
"64-31-79-16",1,"weai_20","If They will Adopt or Use the New Techniques/Knowledge They Have Acquired or Learned",1,10,,,
"64-31-79-16",1,"weai_21","Use of Land",1,10,,,
"64-31-79-16",10,"weai_10","The Types of Non-Agricultural Activities your Household Involves Itself In, Such as Small Business, Casual and Wage Labour, and Providing Services to Others",1,10,,,
"64-31-79-16",10,"weai_11","How any Cash Earned from Wage Work or Non-Farm Work is Spent",1,10,,,
"64-31-79-16",10,"weai_12","How Much Money to Spend on Food?",1,10,,,
"64-31-79-16",10,"weai_13","How Much Money to Spend on Capital Investments (Machinery, Water Pumps, Etc.) for Agriculture?",1,,,,
"64-31-79-16",10,"weai_14","Purchase and Sale of Durable Goods (E.g., Purchase and Sale of TVs, Radios, Fridge)",1,10,,,
